Arbol,Fecha ,Especie ,Posicion ,Vecinos ,Diametros ,Altura
1,12,F,C,4,15.3,14.78
2,12,F,D,3,17.8,17.07
3,9,C,D,5,18.2,18.28
4,9,H,S,4,9.7,8.79
5,7,H,I,6,10.8,10.18
6,10,C,I,3,14.1,14.9
7,10,C,C,2,17.1,15.34
8,12,C,D,2,20.6,17.22
9,16,F,C,4,18.2,15.15
10,14,F,I,5,16.1,14.66
11,8,H,D,3,14.2,17.43
12,5,H,D,6,14.8,17.45
13,12,F,I,2,19.1,14.18
14,5,C,I,2,16.7,13.4
15,12,C,S,4,18.9,10.4
16,20,H,S,3,12.4,11.52
17,15,H,C,0,17.3,14.61
18,20,F,D,1,22.7,21.46
19,15,C,C,4,15.1,17.82
20,14,C,I,3,17.7,11.38
21,14,C,S,5,13.4,8.5
22,13,C,I,4,16.2,12.8
23,14,F,D,1,18.5,18.71
24,20,F,I,4,15,14.48
25,21,F,C,2,18.8,14.81
26,5,H,I,4,15.8,12.01
27,2,H,I,3,16.1,11.7
28,22,C,C,3,15.4,16.03
29,22,C,I,0,17.8,14.46
30,18,C,S,1,18.5,8.47
31,16,C,I,3,14.1,11.22
32,16,C,C,5,14.8,12.34
33,17,F,C,4,15.5,16.79
34,17,F,I,6,13.8,16.06
35,18,F,S,4,13,13.2
36,20,H,C,2,18.2,14.3
37,22,H,C,0,22.3,16.84
38,20,H,I,3,17.8,13.84
39,17,C,I,4,13.1,11.31
40,17,C,I,6,12.8,13.2
41,16,C,C,3,13.3,13.75
42,23,F,C,3,15.6,14.6
43,23,H,C,4,16.6,12.56
43,22,C,I,5,13,10.88
45,24,C,I,4,10.2,13.93
46,23,F,I,3,14.4,12.68
47,24,C,S,6,7.7,10
48,25,C,S,5,9.9,8.69
49,25,H,D,1,20.4,16.73
50,24,H,D,3,20.9,16.25
